"date","layer.name","layer.depth_m","layer.temp_c"
1981-04-07,"cline_top",2.5,6.632
1981-04-07,"cline_bottom",48.5,4.37
1981-04-07,"bottom",148.5,4.1715
1981-04-08,"surface",0,7.266
1981-04-08,"cline_top",3.5,6.9565
1981-04-08,"cline_bottom",41.5,4.469
1981-04-08,"bottom",148.5,4.1715
1981-04-09,"surface",0,7.566
1981-04-09,"cline_top",3.5,7.225
1981-04-09,"cline_bottom",39.5,4.506
1981-04-09,"bottom",148.5,4.1715
1981-04-10,"surface",0,8.035
1981-04-10,"cline_top",3.5,7.588
1981-04-10,"cline_bottom",37.5,4.549
1981-04-10,"bottom",148.5,4.1715
1981-04-11,"surface",0,8.488
1981-04-11,"cline_top",1.5,8.3595
1981-04-11,"cline_bottom",35.5,4.596
1981-04-11,"bottom",148.5,4.1715
1981-04-12,"surface",0,8.944
1981-04-12,"cline_top",1.5,8.7445
1981-04-12,"cline_bottom",34.5,4.6215
1981-04-12,"bottom",148.5,4.1715
1981-04-13,"surface",0,9.667
1981-04-13,"cline_top",2.5,9.1175
1981-04-13,"cline_bottom",31.5,4.704
1981-04-13,"bottom",148.5,4.1715
1981-04-14,"surface",0,10.276
1981-04-14,"cline_top",1.5,10.0805
1981-04-14,"cline_bottom",29.5,4.7675
1981-04-14,"bottom",148.5,4.1715
1981-04-15,"surface",0,10.691
1981-04-15,"cline_top",1.5,10.512
1981-04-15,"cline_bottom",28.5,4.802
1981-04-15,"bottom",148.5,4.1715
1981-04-16,"surface",0,10.679
1981-04-16,"cline_top",1.5,10.648
1981-04-16,"cline_bottom",29.5,4.7695
1981-04-16,"bottom",148.5,4.1715
1981-04-17,"surface",0,10.319
1981-04-17,"cline_top",1.5,10.3245
1981-04-17,"cline_bottom",31.5,4.708
1981-04-17,"bottom",148.5,4.1715
1981-04-18,"surface",0,9.724
1981-04-18,"cline_top",1.5,9.7375
1981-04-18,"cline_bottom",34.5,4.626
1981-04-18,"bottom",148.5,4.1715
1981-04-19,"surface",0,9.426
1981-04-19,"cline_top",2.5,9.431
1981-04-19,"cline_bottom",36.5,4.5795
1981-04-19,"bottom",148.5,4.1715
1981-04-20,"surface",0,9.374
1981-04-20,"cline_top",4.5,9.2305
1981-04-20,"cline_bottom",36.5,4.582
1981-04-20,"bottom",148.5,4.1715
1981-04-21,"surface",0,9.595
1981-04-21,"cline_top",4.5,9.301
1981-04-21,"cline_bottom",36.5,4.5845
1981-04-21,"bottom",148.5,4.1715
1981-04-22,"surface",0,9.783
1981-04-22,"cline_top",4.5,9.4495
1981-04-22,"cline_bottom",36.5,4.5865
1981-04-22,"bottom",148.5,4.1715
1981-04-23,"surface",0,9.943
1981-04-23,"cline_top",4.5,9.6015
1981-04-23,"cline_bottom",36.5,4.588
1981-04-23,"bottom",148.5,4.1715
1981-04-24,"surface",0,9.913
1981-04-24,"cline_top",4.5,9.717
1981-04-24,"cline_bottom",36.5,4.59
1981-04-24,"bottom",148.5,4.1715
1981-04-25,"surface",0,10.064
1981-04-25,"cline_top",5.5,9.656
1981-04-25,"cline_bottom",36.5,4.5915
1981-04-25,"bottom",148.5,4.1715
1981-04-26,"surface",0,10.096
1981-04-26,"cline_top",5.5,9.8005
1981-04-26,"cline_bottom",36.5,4.593
1981-04-26,"bottom",148.5,4.172
1981-04-27,"surface",0,9.466
1981-04-27,"cline_top",6.5,9.4345
1981-04-27,"cline_bottom",37.5,4.5715
1981-04-27,"bottom",148.5,4.172
1981-04-28,"surface",0,9.206
1981-04-28,"cline_top",8.5,8.9905
1981-04-28,"cline_bottom",38.5,4.5525
1981-04-28,"bottom",148.5,4.172
1981-04-29,"surface",0,9.064
1981-04-29,"cline_top",8.5,8.846
1981-04-29,"cline_bottom",40.5,4.514
1981-04-29,"bottom",148.5,4.1725
1981-04-30,"surface",0,9.116
1981-04-30,"cline_top",7.5,8.8565
1981-04-30,"cline_bottom",40.5,4.518
1981-04-30,"bottom",148.5,4.1725
1981-05-01,"surface",0,9.264
1981-05-01,"cline_top",7.5,8.9605
1981-05-01,"cline_bottom",40.5,4.522
1981-05-01,"bottom",148.5,4.1725
