date,layer.name,layer.depth_m,layer.temp_c
4/10/81,cline_top,2.5,8.7045
4/10/81,cline_bottom,26.5,8.7715
4/10/81,bottom,45.5,8.6835
4/11/81,surface,1,8.693
4/11/81,cline_top,2.5,8.7045
4/11/81,cline_bottom,26.5,8.7715
4/11/81,bottom,45.5,8.6835
4/12/81,surface,1,8.693
4/12/81,cline_top,2.5,8.7045
4/12/81,cline_bottom,26.5,8.7715
4/12/81,bottom,45.5,8.6835
4/13/81,surface,1,8.693
4/13/81,cline_top,2.5,8.7045
4/13/81,cline_bottom,26.5,8.7715
4/13/81,bottom,45.5,8.6835
4/14/81,surface,1,8.693
4/14/81,cline_top,2.5,8.7045
4/14/81,cline_bottom,26.5,8.7715
4/14/81,bottom,45.5,8.6835
4/15/81,surface,1,8.693
4/15/81,cline_top,2.5,8.7045
4/15/81,cline_bottom,26.5,8.7715
4/15/81,bottom,45.5,8.6835
4/16/81,surface,1,8.693
4/16/81,cline_top,2.5,8.7045
4/16/81,cline_bottom,26.5,8.7715
4/16/81,bottom,45.5,8.6835
4/17/81,surface,1,8.693
4/17/81,cline_top,2.5,8.7045
4/17/81,cline_bottom,26.5,8.7715
4/17/81,bottom,45.5,8.6835
4/18/81,surface,1,8.693
4/18/81,cline_top,2.5,8.7045
4/18/81,cline_bottom,26.5,8.7715
4/18/81,bottom,45.5,8.6835
4/19/81,surface,1,8.693
4/19/81,cline_top,2.5,8.7045
4/19/81,cline_bottom,26.5,8.7715
4/19/81,bottom,45.5,8.6835
4/20/81,surface,1,8.693
4/20/81,cline_top,2.5,8.7045
4/20/81,cline_bottom,26.5,8.7715
4/20/81,bottom,45.5,8.6835
4/21/81,surface,1,8.693
4/21/81,cline_top,2.5,8.7045
4/21/81,cline_bottom,26.5,8.7715
4/21/81,bottom,45.5,8.6835
4/22/81,surface,1,8.693
4/22/81,cline_top,2.5,8.7045
4/22/81,cline_bottom,26.5,8.7715
4/22/81,bottom,45.5,8.6835
4/23/81,surface,1,8.693
4/23/81,cline_top,2.5,8.7045
4/23/81,cline_bottom,26.5,8.7715
4/23/81,bottom,45.5,8.6835
4/24/81,surface,1,8.693
4/24/81,cline_top,2.5,8.7045
4/24/81,cline_bottom,26.5,8.7715
4/24/81,bottom,45.5,8.6835
4/25/81,surface,1,8.693
4/25/81,cline_top,2.5,8.7045
4/25/81,cline_bottom,26.5,8.7715
4/25/81,bottom,45.5,8.6835
4/26/81,surface,1,8.693
4/26/81,cline_top,2.5,8.7045
4/26/81,cline_bottom,26.5,8.7715
4/26/81,bottom,45.5,8.6835
4/27/81,surface,1,8.693
4/27/81,cline_top,2.5,8.7045
4/27/81,cline_bottom,26.5,8.7715
4/27/81,bottom,45.5,8.6835
4/28/81,surface,1,8.693
4/28/81,cline_top,2.5,8.7045
